St/Dis,Prefix,FirstName,MiddleName,LastName,Suffix,WEBSITE,District Address Line 1,District Address Line 2,Distrcit Address Line 3,District Phone,DC Address,City,State,Zip+4,BioguideID,Party
IL16,The Honorable,Adam,,Kinzinger,,http://kinzinger.house.gov/,628 Columbus St.,Ste. 507,"Ottawa, IL 61350",(815) 431-9271,1221 Longworth House Office Building,Washington,DC,20515-1316,K000378,R
IL17,The Honorable,Cheri,,Bustos,,https://bustos.house.gov/,3100 N. Knoxville Ave.,Suite 205,"Peoria, IL 61603",(309) 966-1813,1009 Longworth House Office Building,Washington,DC,20515-1317,B001286,D
IL18,The Honorable,Darin,,LaHood,,https://lahood.house.gov/,100 NE Monroe Street,Room 100,"Peoria, IL 61602",(309) 671-7027,2464 Rayburn House Office Building,Washington,DC,20515-1318,L000585,R
IN01,The Honorable,Peter,J.,Visclosky,,https://visclosky.house.gov/,7895 Broadway,Suite A,"Merrillville, IN 46410",(219) 795-1844,2328 Rayburn House Office Building,Washington,DC,20515-1401,V000108,D
IN02,The Honorable,Jackie,,Walorski,,http://walorski.house.gov/,202 Lincolnway East,Suite #101,"Mishawaka, IN 46544",(574) 204-2645,419 Cannon House Office Building,Washington,DC,20515-1402,W000813,R
IN04,The Honorable,Todd,,Rokita,,http://rokita.house.gov/,355 S. Washington Street,"Danville, IN 46122",,(317) 718-0404,1717 Longworth House Office Building,Washington,DC,20515-1404,R000592,R
IN05,The Honorable,Susan,W.,Brooks,,http://susanwbrooks.house.gov/,11611 N. Meridian Street,Suite 415,"Carmel, IN 46032",317-848-0201,1505 Longworth House Office Building,Washington,DC,20515-1405,B001284,R
IN06,The Honorable,Luke,,Messer,,https://messer.house.gov/,107 W. Charles St.,"Muncie, IN 47305",,765-747-5566,508 Cannon House Office Building,Washington,DC,20515-1406,M001189,R
IN07,The Honorable,André,,Carson,,http://carson.house.gov/,300 E Fall Creek Pkwy. N. Dr.,Suite 300,"Indianapolis, IN 46205",317-283-6516,2453 Rayburn House Office Building,Washington,DC,20515-1407,C001072,D
IN08,The Honorable,Larry,,Bucshon,,https://bucshon.house.gov/,420 Main Street,Suite 1402,"Evansville, IN 47708",(812) 465-6484,1005 Longworth House Office Building,Washington,DC,20515-1408,B001275,R
KS02,The Honorable,Lynn,,Jenkins,,https://lynnjenkins.house.gov/,1001 N. Broadway Street,#C,"Pittsburg, KS 66762",(620) 231-5966,1526 Longworth House Office Building,Washington,DC,20515-1602,J000290,R
KS03,The Honorable,Kevin,,Yoder,,http://yoder.house.gov/,7325 W. 79th St.,"Overland Park, KS 66204",,(913) 621-0832,215 Cannon House Office Building,Washington,DC,20515-1603,Y000063,R
KS04,The Honorable,Mike,,Pompeo,,http://pompeo.house.gov/,7701 E. Kellogg,Suite 510,"Wichita, KS 67207",(316) 262-8992,436 Cannon House Office Building,Washington,DC,20515-1604,P000602,R
KY02,The Honorable,Brett,,Guthrie,,https://guthrie.house.gov/,996 Wilkinson Trace,Suite B2,"Bowling Green, KY 42103",(270) 842-9896,2434 Rayburn House Office Building,Washington,DC,20515-1702,G000558,R
KY03,The Honorable,John,A.,Yarmuth,,https://yarmuth.house.gov/,"600 Martin Luther King, Jr. Place","Romano Mazzoli Federal Building, Suite 216","Louisville, KY 40202",502-582-5129,403 Cannon House Office Building,Washington,DC,20515-1703,Y000062,D
KY04,The Honorable,Thomas,,Massie,,https://massie.house.gov/,1700 Greenup Ave,Suite 505,"Ashland, KY 41101",(606) 324-9898,314 Cannon House Office Building,Washington,DC,20515-1704,M001184,R
KY05,The Honorable,Harold,,Rogers,,http://halrogers.house.gov/,551 Clifty Street,"Somerset, KY 42503",,606-679-8346,2406 Rayburn House Office Building,Washington,DC,20515-1705,R000395,R
KY06,The Honorable,Andy,,Barr,,https://barr.house.gov/,2709 Old Rosebud Road,"Lexington, KY 40509",,859-219-1366,1432 Longworth House Office Building,Washington,DC,20515-1706,B001282,R
LA01,The Honorable,Steve,,Scalise,,http://scalise.house.gov/,1514 Martens Drive,Suite 10,"Hammond, LA 70401",985-340-2185,2338 Rayburn House Office Building,Washington,DC,20515-1801,S001176,R
LA02,The Honorable,Cedric,L.,Richmond,,https://richmond.house.gov/,1520 Thomas H. Delpit Drive,Suite 126,"Baton Rouge, LA 70802",(225) 636-5600,240 Cannon House Office Building,Washington,DC,20515-1802,R000588,D
LA05,The Honorable,Ralph,Lee,Abraham,,https://abraham.house.gov/,426 DeSiard St.,"Monroe, LA 71201",,318.322.3500,417 Cannon House Office Building,Washington,DC,20515-1805,A000374,R
LA06,The Honorable,Garret,,Graves,,https://garretgraves.house.gov/,2351 Energy Drive,Suite 1200,"Baton Rouge, LA 70808",(225) 442-1731,204 Cannon House Office Building,Washington,DC,20515-1806,G000577,R
MA01,The Honorable,Richard,E.,Neal,,https://neal.house.gov/,78 Center St.,"Pittsfield, MA 01201",,(413) 442-0946,341 Cannon House Office Building,Washington,DC,20515-2101,N000015,D
MA02,The Honorable,James,P.,McGovern,,http://mcgovern.house.gov/,24 Church Street,Room 29,"Leominster, MA 01453",978-466-3552,438 Cannon House Office Building,Washington,DC,20515-2102,M000312,D
MA03,The Honorable,Niki,,Tsongas,,https://tsongas.house.gov/,126 John Street,Suite 12,"Lowell, MA 01852",978.459.0101,1714 Longworth House Office Building,Washington,DC,20515-2103,T000465,D
MA04,The Honorable,Joseph,P.,Kennedy,III,https://kennedy.house.gov/,8 North Main St.,Suite 200,"Attleboro, MA 02703",(508) 431-1110,306 Cannon House Office Building,Washington,DC,20515-2104,K000379,D
MA05,The Honorable,Katherine,M.,Clark,,https://katherineclark.house.gov/index.cfm/home,701 Concord Avenue,Suite 101,"Cambridge, MA 02138",(617) 354-0292,1721 Longworth House Office Building,Washington,DC,20515-2105,C001101,D
MA06,The Honorable,Seth,,Moulton,,http://moulton.house.gov/,21 Front Street,"Salem, MA 01970",,(978) 531-1669,1408 Longworth House Office Building,Washington,DC,20515-2106,M001196,D
MA07,The Honorable,Michael,E.,Capuano,,http://capuano.house.gov/,Office of Congressman Michael E. Capuano,110 First Street,"Cambridge, MA 02141",(617) 621-6208,1414 Longworth House Office Building,Washington,DC,20515-2107,C001037,D
MA08,The Honorable,Stephen,F.,Lynch,,http://lynch.house.gov/,One Harbor Street,Suite 304,"Boston, MA 02210",(617) 428-2000,2369 Rayburn House Office Building,Washington,DC,20515-2108,L000562,D
MA09,The Honorable,William,R.,Keating,,https://keating.house.gov/,297 North St.,Suite 312,"Hyannis, MA 02601",(508) 771-0666,315 Cannon House Office Building,Washington,DC,20515-2109,K000375,D
MD01,The Honorable,Andy,,Harris,,http://harris.house.gov/,100 Olde Point Village,Suite 101,"Chester, MD 21619",410-643-5425,1533 Longworth House Office Building,Washington,DC,20515-2001,H001052,R
MD02,The Honorable,C.,A. Dutch,Ruppersberger,,http://ruppersberger.house.gov/,375 West Padonia Road,"The Atrium, Suite 200","Timonium, MD 21093",410-628-2701,2416 Rayburn House Office Building,Washington,DC,20515-2002,R000576,D
MD03,The Honorable,John,P.,Sarbanes,,https://sarbanes.house.gov/,44 Calvert Street,"Arundel Center, Suite 349","Annapolis, MD 21401",(410) 295-1679,2444 Rayburn House Office Building,Washington,DC,20515-2003,S001168,D
MD05,The Honorable,Steny,H.,Hoyer,,https://hoyer.house.gov/,401 Post Office Road,Ste. 202,"Waldorf, MD 20602",(301) 843-1577,1705 Longworth House Office Building,Washington,DC,20515-2005,H000874,D
MD06,The Honorable,John,K.,Delaney,,http://delaney.house.gov/,9801 Washingtonian Boulevard,Suite 330,"Gaithersburg, MD 20878",301-926-0300,1632 Longworth House Office Building,Washington,DC,20515-2006,D000620,D
MD07,The Honorable,Elijah,E.,Cummings,,https://cummings.house.gov/,1010 Park Avenue,Suite 105,"Baltimore, MD 21201",(410) 685-9199,2230 Rayburn House Office Building,Washington,DC,20515-2007,C000984,D
ME01,The Honorable,Chellie,,Pingree,,https://pingree.house.gov/,2 Portland Fish Pier,Suite 304,"Portland, ME 04101",(207) 774-5019,2162 Rayburn House Office Building,Washington,DC,20515-1901,P000597,D
ME02,The Honorable,Bruce,,Poliquin,,https://poliquin.house.gov/,6 State Street,Suite 101,"Bangor, ME 04401",(207) 942-0583,426 Cannon House Office Building,Washington,DC,20515-1902,P000611,R
MI02,The Honorable,Bill,,Huizenga,,http://huizenga.house.gov/,1 South Harbor Ave.,Suite 6B,"Grand Haven, MI 49417",(616) 414-5516,1217 Longworth House Office Building,Washington,DC,20515-2202,H001058,R
MI03,The Honorable,Justin,,Amash,,http://amash.house.gov/,70 W Michigan Ave,Suite 212,"Battle Creek, MI 49017",(269) 205-3823,114 Cannon House Office Building,Washington,DC,20515-2203,A000367,R
MI04,The Honorable,John,R.,Moolenaar,,https://moolenaar.house.gov/,201 North Mitchell Street,Suite 301,"Cadillac, MI 49601",(231) 942-5070,117 Cannon House Office Building,Washington,DC,20515-2204,M001194,R
MI05,The Honorable,Daniel,T.,Kildee,,http://dankildee.house.gov/,111 East Court St.,#3B,"Flint, MI 48502",810-238-8627,227 Cannon House Office Building,Washington,DC,20515-2205,K000380,D
MI06,The Honorable,Fred,,Upton,,http://upton.house.gov/,350 E. Michigan Ave,"Kalamazoo, MI 49007",,(269) 385-0039,2183 Rayburn House Office Building,Washington,DC,20515-2206,U000031,R
MI07,The Honorable,Tim,,Walberg,,http://walberg.house.gov/,110 1st Street,Suite 2,"Jackson, MI 49201",(517) 780-9075,2436 Rayburn House Office Building,Washington,DC,20515-2207,W000798,R
MI08,The Honorable,Mike,,Bishop,,https://mikebishop.house.gov/,711 E. Grand River Avenue,Suite A,"Brighton, MI 48116",(810) 227-8600,428 Cannon House Office Building,Washington,DC,20515-2208,B001293,R
MI09,The Honorable,Sander,M.,Levin,,http://levin.house.gov/,27085 Gratiot Ave,"Roseville, MI 48066",,586-498-7122,1236 Longworth House Office Building,Washington,DC,20515-2209,L000263,D
MI11,The Honorable,David,A.,Trott,,https://trott.house.gov/,625 East Big Beaver Road,Suite 204,"Troy, MI 48083",(248)-528-0711,1722 Longworth House Office Building,Washington,DC,20515-2211,T000475,R
MI12,The Honorable,Debbie,,Dingell,,https://debbiedingell.house.gov/,19855 West Outer Drive,Suite 103-E,"Dearborn, MI 48124",(313) 278-2936,116 Cannon House Office Building,Washington,DC,20515-2212,D000624,D
MI13,The Honorable,John,,Conyers,Jr.,https://conyers.house.gov/,669 Federal Bldg.,231 W. Lafayette,"Detroit, MI 48226",(313) 961-5670,2426 Rayburn House Office Building,Washington,DC,20515-2213,C000714,D
MI14,The Honorable,Brenda,L.,Lawrence,,https://lawrence.house.gov/,5555 Conner Avenue,Suite 3015,"Detroit, MI 48213",(313) 423-6183,1237 Longworth House Office Building,Washington,DC,20515-2214,L000581,D
MN01,The Honorable,Timothy,J.,Walz,,https://walz.house.gov/,527 ½ South Front Street,"Mankato, MN 56001",,507-388-2149,1034 Longworth House Office Building,Washington,DC,20515-2301,W000799,D
MN03,The Honorable,Erik,,Paulsen,,https://paulsen.house.gov/,250 Prairie Center Drive,Suite 230,"Eden Prairie, MN 55344",(952) 405-8510,127 Cannon House Office Building,Washington,DC,20515-2303,P000594,R
MN04,The Honorable,Betty,,McCollum,,http://mccollum.house.gov/,165 Western Avenue North,Suite #17,"St. Paul, Minnesota 55102",(651) 224-9191,2256 Rayburn House Office Building,Washington,DC,20515-2304,M001143,D
MN05,The Honorable,Keith,,Ellison,,https://ellison.house.gov/,2100 Plymouth Avenue N,"Minneapolis, MN 55411",,(612) 522-1212,2263 Rayburn House Office Building,Washington,DC,20515-2305,E000288,D
MN06,The Honorable,Tom,,Emmer,,https://emmer.house.gov/,9201 Quaday Ave. NE,Suite 206,"Otsego, MN 55330",(763) 241-6848,503 Cannon House Office Building,Washington,DC,20515-2306,E000294,R
MN07,The Honorable,Collin,C.,Peterson,,http://collinpeterson.house.gov/,1420 East College Drive SW/WC,"Marshall, MN 56258",,507-537-2299,2204 Rayburn House Office Building,Washington,DC,20515-2307,P000258,D
MN08,The Honorable,Richard,M.,Nolan,,http://nolan.house.gov/,Brainerd City Hall,501 Laurel Street,"Brainerd, MN 56401",(218) 454-4078,2366 Rayburn House Office Building,Washington,DC,20515-2308,N000127,D
MO01,The Honorable,Wm.,Lacy,Clay,,https://lacyclay.house.gov/,1281 Graham Rd,Suite 202,"Florissant, MO 63031",(314) 383-5240,2428 Rayburn House Office Building,Washington,DC,20515-2501,C001049,D
MO02,The Honorable,Ann,,Wagner,,http://wagner.house.gov/,301 Sovereign Court,Suite 201,"Ballwin, MO 63011",(636) 779-5449,435 Cannon House Office Building,Washington,DC,20515-2502,W000812,R
MO03,The Honorable,Blaine,,Luetkemeyer,,http://luetkemeyer.house.gov/,2117 Missouri Boulevard,"Jefferson City, Mo., 65109",,(573) 635-7232,2440 Rayburn House Office Building,Washington,DC,20515-2503,L000569,R
MO04,The Honorable,Vicky,,Hartzler,,https://hartzler.house.gov/,2415 Carter Lane,Suite 4,"Columbia, MO 65201",(573) 442-9311,2235 Rayburn House Office Building,Washington,DC,20515-2504,H001053,R
MO05,The Honorable,Emanuel,,Cleaver,,http://cleaver.house.gov/,1923 Main St.,"Higginsville, MO 64037",,(660) 584-7373,2335 Rayburn House Office Building,Washington,DC,20515-2505,C001061,D
MO06,The Honorable,Sam,,Graves,,https://graves.house.gov/,906 Broadway,PO Box 364,"Hannibal, MO 63401",(573) 221-3400,1415 Longworth House Office Building,Washington,DC,20515-2506,G000546,R
MO07,The Honorable,Billy,,Long,,https://long.house.gov/,3232 E. Ridgeview St.,"Springfield, MO 65804",,(417) 889-1800,1541 Longworth House Office Building,Washington,DC,20515-2507,L000576,R
MO08,The Honorable,Jason,,Smith,,https://jasonsmith.house.gov/,2502 Tanner Drive,Suite 205,"Cape Girardeau, MO 63703",573-335-0101,1118 Longworth House Office Building,Washington,DC,20515-2508,S001195,R
MP00,The Honorable,Gregorio,Kilili Camacho,Sablan,,http://sablan.house.gov/,P.O. Box 1361,"Rota, MP 96951",,(670) 532-2647,423 Cannon House Office Building,Washington,DC,20515-5201,S001177,D
MS01,The Honorable,Trent,,Kelly,,https://trentkelly.house.gov/,318 North 7th Street,Suite D,"Columbus, MS 39701",(662) 327-0748,1427 Longworth House Office Building,Washington,DC,20515-2401,K000388,R
MS02,The Honorable,Bennie,G.,Thompson,,http://benniethompson.house.gov/,107 West Madison Street,"Bolton, MS 39041",,(601) 866-9003,2466 Rayburn House Office Building,Washington,DC,20515-2402,T000193,D
MS03,The Honorable,Gregg,,Harper,,http://harper.house.gov/,230 South Whitworth St.,"Brookhaven, MS 39601",,(601) 823-3400,307 Cannon House Office Building,Washington,DC,20515-2403,H001045,R
MS04,The Honorable,Steven,M.,Palazzo,,http://palazzo.house.gov/,970 Tommy Munro Drive,Suite D,"Biloxi, MS 39532",(228)864-7670,331 Cannon House Office Building,Washington,DC,20515-2404,P000601,R
MT00,The Honorable,Ryan,K.,Zinke,,https://zinke.house.gov/,222 North 32nd Street,Suite 900,"Billings, MT 59101",406- 969-1736,113 Cannon House Office Building,Washington,DC,20515-2600,Z000018,R
NC01,The Honorable,G.,K.,Butterfield,,http://butterfield.house.gov/,411 W. Chapel Hill Street,Suite 905,"Durham, NC 27701",(919) 908-0164,2305 Rayburn House Office Building,Washington,DC,20515-3301,B001251,D
NC03,The Honorable,Walter,B.,Jones,,http://jones.house.gov/,1105-C Corporate Drive,"Greenville, NC 27858",,252-931-1003,2333 Rayburn House Office Building,Washington,DC,20515-3303,J000255,R
NC04,The Honorable,David,E.,Price,,https://price.house.gov/,436 N. Harrington St,Suite 100,"Raleigh, NC 27603",919.859.5999,2108 Rayburn House Office Building,Washington,DC,20515-3304,P000523,D
NC05,The Honorable,Virginia,,Foxx,,http://foxx.house.gov/,400 Shadowline Dr,Suite 205,"Boone, NC 28607",(828) 265-0240,2350 Rayburn House Office Building,Washington,DC,20515-3305,F000450,R
NC06,The Honorable,Mark,,Walker,,https://walker.house.gov/,809 Green Valley Road,Suite 104,"Greensboro, NC 27408",336-333-5005,312 Cannon House Office Building,Washington,DC,20515-3306,W000819,R
NC07,The Honorable,David,,Rouzer,,https://rouzer.house.gov/,310 Government Center Drive,Unit 1,"Bolivia, NC 28422",(910) 253-6111,424 Cannon House Office Building,Washington,DC,20515-3307,R000603,R
NC08,The Honorable,Richard,,Hudson,,https://hudson.house.gov/,1015 Fayetteville Rd,"Rockingham, NC 28379",,(910) 997-2070,429 Cannon House Office Building,Washington,DC,20515-3308,H001067,R
NC09,The Honorable,Robert,,Pittenger,,https://pittenger.house.gov/,2701 Coltsgate Road,Suite 105,"Charlotte, NC 28211",(704) 362-1060,224 Cannon House Office Building,Washington,DC,20515-3309,P000606,R
NC10,The Honorable,Patrick,T.,McHenry,,http://mchenry.house.gov/,160 Midland Avenue,"Black Mountain, NC 28711",,(828) 669-0600,2334 Rayburn House Office Building,Washington,DC,20515-3310,M001156,R
NC11,The Honorable,Mark,,Meadows,,https://meadows.house.gov/,200 N. Grove Street,"Henderson County Court House, Suite 90","Hendersonville, NC 28792",(828) 693-5660,1024 Longworth House Office Building,Washington,DC,20515-3311,M001187,R
NC12,The Honorable,Alma,S.,Adams,,http://adams.house.gov/,1600 E. Wendover Ave,Suite I,"Greensboro, NC 27405",(336) 275-9950,222 Cannon House Office Building,Washington,DC,20515-3312,A000370,D
NC13,The Honorable,George,,Holding,,http://holding.house.gov/,3725 National Drive,Suite 101,"Raleigh, NC 27612",919-782-4400,507 Cannon House Office Building,Washington,DC,20515-3313,H001065,R
ND00,The Honorable,Kevin,,Cramer,,http://cramer.house.gov/,3217 Fiechtner Drive,Suite D,"Fargo, ND 58103",701-356-2216,1032 Longworth House Office Building,Washington,DC,20515-3400,C001096,R
NE01,The Honorable,Jeff,,Fortenberry,,https://fortenberry.house.gov/,P.O. Box 377,641 N. Broad Street,"Fremont, NE 68026",(402) 727-0888,1514 Longworth House Office Building,Washington,DC,20515-2701,F000449,R
NE03,The Honorable,Adrian,,Smith,,http://adriansmith.house.gov/,416 Valley View Drive,Suite 600,"Scottsbluff, NE 69361",(308) 633-6333,2241 Rayburn House Office Building,Washington,DC,20515-2703,S001172,R
NH02,The Honorable,Ann,M.,Kuster,,http://kuster.house.gov/,18 North Main Street,Fourth Floor,"Concord, NH 03301",(603) 226-1002,137 Cannon House Office Building,Washington,DC,20515-2902,K000382,D
NJ01,The Honorable,Donald,,Norcross,,https://norcross.house.gov/,10 Melrose Avenue,Suite 210,"Cherry Hill, NJ 08003",(856) 427-7000,1531 Longworth House Office Building,Washington,DC,20515-3001,N000188,D
NJ02,The Honorable,Frank,A.,LoBiondo,,http://lobiondo.house.gov/,5914 Main Street,Suite 103,"Mays Landing, NJ 08330-1746",(609) 625-5008,2427 Rayburn House Office Building,Washington,DC,20515-3002,L000554,R
NJ03,The Honorable,Thomas,,MacArthur,,https://macarthur.house.gov/,Gibson House Community Center,535 East Main Street,"Marlton, NJ 08053",(856) 267-5182,506 Cannon House Office Building,Washington,DC,20515-3003,M001193,R
NJ04,The Honorable,Christopher,H.,Smith,,http://chrissmith.house.gov/,4573 South Broad Street,"Hamilton, N.J. 08620",,(609) 585-7878,2373 Rayburn House Office Building,Washington,DC,20515-3004,S000522,R
NJ06,The Honorable,Frank,,Pallone,Jr.,https://pallone.house.gov/,504 Broadway,"Long Branch, NJ 07740",,(732) 571-1140,237 Cannon House Office Building,Washington,DC,20515-3006,P000034,D
NJ07,The Honorable,Leonard,,Lance,,http://lance.house.gov/,425 North Avenue East,"Westfield, NJ 07090",,(908) 518-7733,2352 Rayburn House Office Building,Washington,DC,20515-3007,L000567,R
NJ08,The Honorable,Albio,,Sires,,https://sires.house.gov/,800 Anna Street,"Elizabeth, NJ 07201",,(908) 820-0692,2342 Rayburn House Office Building,Washington,DC,20515-3008,S001165,D
NJ09,The Honorable,Bill,,Pascrell,Jr.,http://pascrell.house.gov/,367 Valley Brook Ave,"Lyndhurst, NJ 07071",,(201) 935-2248,2370 Rayburn House Office Building,Washington,DC,20515-3009,P000096,D
NJ10,The Honorable,Donald,M.,Payne,Jr.,http://payne.house.gov/,1455 Liberty Avenue,"Hillside, NJ 07205",,862-229-2994,103 Cannon House Office Building,Washington,DC,20515-3010,P000604,D
NJ11,The Honorable,Rodney,P.,Frelinghuysen,,https://frelinghuysen.house.gov/,30 Schuyler Place,Second Floor,"Morristown, NJ 07960",(973) 984-0711,2306 Rayburn House Office Building,Washington,DC,20515-3011,F000372,R
NJ12,The Honorable,Bonnie,,Watson Coleman,,https://watsoncoleman.house.gov/,850 Bear Tavern Road,Suite 201,"Ewing, NJ 08628",(609) 883-0026,126 Cannon House Office Building,Washington,DC,20515-3012,W000822,D
NM01,The Honorable,Michelle,,Lujan Grisham,,https://lujangrisham.house.gov/,400 Gold Avenue SW,Suite 680,"Albuquerque, NM 87102",(505) 346-6781,214 Cannon House Office Building,Washington,DC,20515-3101,L000580,D
NM02,The Honorable,Stevan,,Pearce,,http://pearce.house.gov/,1101 New York Avenue,Room 115,"Alamogordo, NM 88310",855-473-2723,2432 Rayburn House Office Building,Washington,DC,20515-3102,P000588,R
NM03,The Honorable,Ben,Ray,Luján,,https://lujan.house.gov/,1611 Calle Lorca,Suite A,"Santa Fe, NM 87505",(505) 984-8950,2446 Rayburn House Office Building,Washington,DC,20515-3103,L000570,D
NV01,The Honorable,Dina,,Titus,,https://titus.house.gov/,550 East Charleston Blvd.,Ste B,"Las Vegas, NV 89104",(702) 220-9823,401 Cannon House Office Building,Washington,DC,20515-2801,T000468,D
NV02,The Honorable,Mark,E.,Amodei,,https://amodei.house.gov/,5310 Kietzke Lane,Suite 103,"Reno, NV 89511",(775) 686-5760,332 Cannon House Office Building,Washington,DC,20515-2802,A000369,R
NY01,The Honorable,Lee,M.,Zeldin,,https://zeldin.house.gov/,31 Oak Street,Suite 20,"Patchogue, NY 11772",(631) 289-1097,1517 Longworth House Office Building,Washington,DC,20515-3201,Z000017,R
NY02,The Honorable,Peter,T.,King,,http://peteking.house.gov/,1003 Park Boulevard,"Massapequa Park, NY 11762",,(516) 541-4225,339 Cannon House Office Building,Washington,DC,20515-3202,K000210,R
NY04,The Honorable,Kathleen,M.,Rice,,http://kathleenrice.house.gov/,300 Garden City Plaza,Suite 200,"Garden City, NY 11530",(516) 739-3008,1508 Longworth House Office Building,Washington,DC,20515-3204,R000602,D
NY05,The Honorable,Gregory,W.,Meeks,,http://meeks.house.gov/,67-12 Rockaway Beach Boulevard,"Arverne, NY 11692",,(347) 230-4032,2234 Rayburn House Office Building,Washington,DC,20515-3205,M001137,D
NY06,The Honorable,Grace,,Meng,,http://meng.house.gov/,118-35 Queens Boulevard,17th Floor,"Forest Hills, NY 11375",718-358-6364,1317 Longworth House Office Building,Washington,DC,20515-3206,M001188,D
NY07,The Honorable,Nydia,M.,Velázquez,,https://velazquez.house.gov/,266 Broadway,Suite 201,"Brooklyn, NY 11211",(718) 599-3658,2302 Rayburn House Office Building,Washington,DC,20515-3207,V000081,D
NY08,The Honorable,Hakeem,S.,Jeffries,,http://jeffries.house.gov/,55 Hanson Place,Suite 603,"Brooklyn, NY 11217",(718) 237 - 2211,1607 Longworth House Office Building,Washington,DC,20515-3208,J000294,D
NY09,The Honorable,Yvette,D.,Clarke,,https://clarke.house.gov/,222 Lenox Road,Suites 1 & 2,"Brooklyn, NY 11226",(718) 287-1142,2351 Rayburn House Office Building,Washington,DC,20515-3209,C001067,D
NY10,The Honorable,Jerrold,,Nadler,,http://nadler.house.gov/,201 Varick Street,Suite 669,"New York, NY 10014",212-367-7350,2109 Rayburn House Office Building,Washington,DC,20515-3210,N000002,D
NY11,The Honorable,Daniel,M.,Donovan,Jr.,https://donovan.house.gov/,7308 13th Avenue,"Brooklyn, NY 11228",,718-630-5277,1725 Longworth House Office Building,Washington,DC,20515-3211,D000625,R
NY12,The Honorable,Carolyn,B.,Maloney,,http://maloney.house.gov/,1651 3rd Avenue,Suite 311,"New York, NY 10128-3679",212-860-0606,2308 Rayburn House Office Building,Washington,DC,20515-3212,M000087,D
NY14,The Honorable,Joseph,,Crowley,,http://crowley.house.gov/,2800 Bruckner Blvd.,Suite 201,"Bronx, NY 10465",(718) 931-1400,1436 Longworth House Office Building,Washington,DC,20515-3214,C001038,D
NY15,The Honorable,José,E.,Serrano,,https://serrano.house.gov/,1231 Lafayette Ave,4th Floor,"Bronx, NY 10474",(718) 620-0084,2227 Rayburn House Office Building,Washington,DC,20515-3215,S000248,D
NY16,The Honorable,Eliot,L.,Engel,,https://engel.house.gov/,3655 Johnson Avenue,"Bronx, NY 10463",,(718) 796-9700,2462 Rayburn House Office Building,Washington,DC,20515-3216,E000179,D
NY17,The Honorable,Nita,M.,Lowey,,https://lowey.house.gov/,67 North Main Street,#101,"New City, NY 10956",(845) 639-3485,2365 Rayburn House Office Building,Washington,DC,20515-3217,L000480,D
NY18,The Honorable,Sean,Patrick,Maloney,,http://seanmaloney.house.gov/,123 Grand Street,2nd Floor,"Newburgh, NY 12550",845-561-1259,1529 Longworth House Office Building,Washington,DC,20515-3218,M001185,D
NY20,The Honorable,Paul,,Tonko,,https://tonko.house.gov/,61 Columbia Street,4th Floor,"Albany, NY 12210",(518) 465-0700,2463 Rayburn House Office Building,Washington,DC,20515-3220,T000469,D
NY21,The Honorable,Elise,M.,Stefanik,,https://stefanik.house.gov/,136 Glen Street,"Glens Falls, NY 12801",,(518) 743-0964,512 Cannon House Office Building,Washington,DC,20515-3221,S001196,R
NY23,The Honorable,Tom,,Reed,,https://reed.house.gov/,89 W. Market Street,"Corning, NY 14830",,(607) 654-7566,2437 Rayburn House Office Building,Washington,DC,20515-3223,R000585,R
NY24,The Honorable,John,,Katko,,https://katko.house.gov/,71 Genesee St.,"Auburn, NY 13021",,(315) 253-4068,1123 Longworth House Office Building,Washington,DC,20515-3224,K000386,R
NY25,The Honorable,Louise,McIntosh,Slaughter,,https://louise.house.gov/,3120 Federal Bldg.,100 State St.,"Rochester, NY 14614",(585) 232-4850,2469 Rayburn House Office Building,Washington,DC,20515-3225,S000480,D
NY26,The Honorable,Brian,,Higgins,,http://higgins.house.gov/,640 Park Place,"Niagara Falls, NY 14301",,716-282-1274,2459 Rayburn House Office Building,Washington,DC,20515-3226,H001038,D
NY27,The Honorable,Chris,,Collins,,https://chriscollins.house.gov/,128 Main Street,"Geneseo, NY 14454",,585-519-4002,1117 Longworth House Office Building,Washington,DC,20515-3227,C001092,R
OH01,The Honorable,Steve,,Chabot,,http://chabot.house.gov/,441 Vine Street,"Cincinnati, OH 45202",,(513) 684-2723,2371 Rayburn House Office Building,Washington,DC,20515-3501,C000266,R
OH02,The Honorable,Brad,R.,Wenstrup,,http://wenstrup.house.gov/,170 North Main St.,"Peebles, OH, 45660",,(513) 605-1380,1318 Longworth House Office Building,Washington,DC,20515-3502,W000815,R
OH03,The Honorable,Joyce,,Beatty,,http://beatty.house.gov/,471 East Broad Street,Suite 1100,"Columbus, Ohio 43215",614-220-0003,133 Cannon House Office Building,Washington,DC,20515-3503,B001281,D
OH04,The Honorable,Jim,,Jordan,,http://jordan.house.gov/,3121 West Elm Plaza,"Lima, OH 45805",,(419) 999-6455,1524 Longworth House Office Building,Washington,DC,20515-3504,J000289,R
OH05,The Honorable,Robert,E.,Latta,,http://latta.house.gov/,1045 North Main St,Ste 6,"Bowling Green, OH 43402",(419) 354-8700,2448 Rayburn House Office Building,Washington,DC,20515-3505,L000566,R
OH06,The Honorable,Bill,,Johnson,,http://billjohnson.house.gov/,246 Front St.,"Marietta, OH 45750",,(740) 376-0868,1710 Longworth House Office Building,Washington,DC,20515-3506,J000292,R
